Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
NE*,14,2,0,.875,441,250,191,11.9,-2.7,9.3,4.3,5.0
MIA+,10,6,0,.625,363,380,-17,-1.1,-1.3,-2.4,-0.6,-1.8
BUF,7,9,0,.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2
NYJ,5,11,0,.313,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3.0
PIT*,11,5,0,.688,399,327,72,4.5,0.2,4.7,2.8,2.0
BAL,8,8,0,.500,343,321,22,1.4,0.2,1.5,-1.1,2.6
CIN,6,9,1,.406,325,315,10,0.6,0.4,1.0,-1.5,2.5
CLE,1,15,0,.063,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9
HOU*,9,7,0,.563,279,328,-49,-3.1,0.4,-2.6,-5.3,2.7
TEN,9,7,0,.563,381,378,3,0.2,-1.2,-1.0,0.7,-1.7
IND,8,8,0,.500,411,392,19,1.2,-0.8,0.4,3.1,-2.7
JAX,3,13,0,.188,318,400,-82,-5.1,0.2,-5.0,-2.7,-2.3
KC*,12,4,0,.750,389,311,78,4.9,0.7,5.6,1.2,4.4
OAK+,12,4,0,.750,416,385,31,1.9,1.3,3.3,3.5,-0.3
DEN,9,7,0,.563,333,297,36,2.3,1.8,4.0,-2.0,6.1
SD,5,11,0,.313,410,423,-13,-0.8,0.9,0.1,3.0,-3.0
DAL*,13,3,0,.813,421,306,115,7.2,-0.2,7.0,4.1,2.9
NYG+,11,5,0,.688,310,284,26,1.6,0.5,2.1,-3.2,5.4
WAS,8,7,1,.531,396,383,13,0.8,1.2,2.0,3.3,-1.3
PHI,7,9,0,.438,367,331,36,2.3,1.6,3.8,1.3,2.5
GB*,10,6,0,.625,432,388,44,2.8,0.1,2.8,4.9,-2.0
DET+,9,7,0,.563,346,358,-12,-0.8,-0.6,-1.4,-1.3,-0.1
MIN,8,8,0,.500,327,307,20,1.3,-0.3,0.9,-2.6,3.6
CHI,3,13,0,.188,279,399,-120,-7.5,-0.0,-7.5,-5.2,-2.3
ATL*,11,5,0,.688,540,406,134,8.4,0.1,8.5,10.5,-2.0
TB,9,7,0,.563,354,369,-15,-0.9,0.7,-0.2,-1.5,1.3
NO,7,9,0,.438,469,454,15,0.9,0.6,1.5,6.8,-5.3
CAR,6,10,0,.375,369,402,-33,-2.1,1.1,-1.0,-0.2,-0.8
SEA*,10,5,1,.656,354,292,62,3.9,-1.7,2.1,-2.4,4.5
ARI,7,8,1,.469,418,362,56,3.5,-1.9,1.6,2.4,-0.8
LA,4,12,0,.250,224,394,-170,-10.6,-0.5,-11.1,-9.5,-1.6
SF,2,14,0,.125,309,480,-171,-10.7,-0.5,-11.2,-3.7,-7.5